Type,Indicator
SHA256,3c908b576e0ddadb5c94122e8f11b6701201518fa99e6cc33f69f17168da6d88
SHA256,2b935b3c308727d46ddd00ea776caeb1137a2cc3b43b055667dfdea42f98170a
SHA256,ebe0f9855eb8f6bd980ed60c26e3a877dc1ace5d664e248bb0558996fe0bd06f
SHA256,fecfa6e2e6d4224082e09da7b42878f9e6ab9966a6f7a4cd120603f0bd59e72a 
SHA256,e0e3d23222d71bbebae6afd37dcc436f9f5c8e56dd6ece8c8d63c162826dd99c 
SHA256,db412892acc683df340211b28ca3545d550e0a1de4bf0a2565b2b83bb31e0357
SHA256,d315b83e772dfddbd2783f016c38f021225745eb43c06bbdfd92364f68fa4c56 
Domain,quanquandd.top:8888
Domain,linuxddos.net:2323
Domain,ai.nqb001.com:7812
Domain,tomca1.com:10099
Domain,are.nishabig.pro:7777
Domain,198.98.55.123:8080
Domain,js.wanpay1.cn:8332
Domain,a.nqb001.com:36991
Domain,43.155.37.192:9949
Domain,kivspace.xyz:8567
Domain,xiaomai233.f3322.net:8080
Domain,botnet.ddoswow.site:10010
Domain,23.225.194.65:8080
Domain,tf.xiaozhuddos.co:1997
Domain,154.209.91.133:1997
Domain,skyeda.vip:3580
Domain,bitantcoins.pro
Domain,112.132.212.55:8080
Domain,bb.hash3688.com
Domain,20.90.110.121:8080
Domain,115.126.74.200:8888
Domain,x.xlg360.xyz:8087
Domain,abc.cfed.cc:8086
Domain,ars1.wemix.cc:9090
IP,154.211.21.221
IP,154.19.202.14
IP,5.180.44.53
IP,103.214.140.15
IP,47.242.15.186
IP,169.129.117.68
IP,23.225.194.65
IP,216.250.106.198
IP,205.185.125.40
IP,172.93.101.107
IP,104.208.110.120
IP,104.208.104.44
IP,103.254.72.193
IP,156.254.126.18
IP,43.142.157.239
IP,23.224.132.58
IP,137.175.17.80
IP,180.76.101.231
IP,47.99.44.19
IP,20.187.95.103
IP,155.94.141.226
IP,104.244.78.243
IP,194.36.170.149
IP,23.226.76.122
IP,112.132.215.95
IP,45.125.44.251
IP,45.125.44.237

